,city,IATA
2210,Ludhiaha,LUH
2211,Luena,LUO
2212,Lugano,LUG
2213,\N,VSG
2214,San Juan,SJU
2215,Phoenix,LUF
2216,Lukla,LUA
2217,Nanjing,NKG
2218,Hefei,HFE
2219,Luoyang,LYA
2220,Malta,MLA
2221,Lusaka,LUN
2222,London,LTN
2223,Lutselk'e,YSG
2224,Luxemburg,LUX
2225,Luxor,LXR
2226,Luzhou,LZO
2227,Lvov,LWO
2228,Lycksele,LYC
2229,Lydd,LYX
2230,Lynchburg,LYH
2231,Nassau,NAS
2232,Lyneham,LYE
2233,Lynn Lake,YYL
2234,Green Island,GNI
2235,Bratislava,BTS
2236,Maastricht,MST
2237,Mabuiag Island,UBB
2238,Macapa,MCP
2239,Macau,MFM
2240,Macaé,MEA
2241,Tampa,MCF
2242,Mackay,MKY
2243,Masbate,NOP
2244,Madang,MAG
2245,Funchal,FNC
2246,Madurai,IXM
2247,Mae Hong Son,HGN
2248,\N,MAQ
2249,Mafia Island,MFA
2250,Mmabatho,MBO
2251,Noumea,GEA
2252,Twin Falls,TWF
2253,Magnetiogorsk,MQF
2254,Makung,MZG
2255,Magwe,MWQ
2256,Rosh Pina,RPN
2257,Redding,EUG
2258,Bandar Mahshahr,MRX
2259,Maiduguri,MIU
2260,Maimama,MMZ
2261,Sabang,SBG
2262,Maintirano,MXT
2263,Maio,MMO
2264,Majkin,MJE
2265,Varginha,VAG
2266,Greenvile,GVT
2267,Makale,MQX
2268,Thessaloniki,SKG
2269,Makemo,MKP
2270,Makkovik,YMN
2271,Makokou,MKU
2272,Makurdi,MDI
2273,Malabo,SSG
2274,Malacca,MKZ
2275,Malaga,AGP
2276,Malakal,MAK
2277,Malamala,AAM
2278,Malanje,MEG
2279,Malargue,LGS
2280,Male,MLE
2281,Alor Island,ARD
2282,Lhok Seumawe-Sumatra Island,LSW
2283,Malindi,MYD
2284,Kano,KAN
2285,Maloelap Island,MAV
2286,Malolo Lailai Island,PTF
2287,Milano,MXP
2288,Mampikony,WMP
2289,Man,MJC
2290,Mana Island,MNF
2291,Managua,MGA
2292,Manakara,WVK
2293,Manang,NGX
2294,Mananjary,MNJ
2295,Manapouri,TEU
2296,Bishkek,FRU
2297,Manchester NH,MHT
2298,Manchester,MAN
2299,Mandalay,MDL
2300,Cannes,CEQ
2301,Mandritsara,WMA
2302,Mangaia Island,MGS
2303,Mangalore,IXE
2304,Luxi,LUM
2305,Manhattan,MHK
2306,Manihi,XMH
2307,Manihiki Island,MHX
2308,Maniitsoq,JSU
2309,\N,MNG
2310,Maniwaki,YMW
2311,Manja,MJA
2312,Mannheim,MHG
2313,Mansfield,MFD
2314,Manston,MSE
2315,Agadez,AJY
2316,Savaii Island,MXS
2317,Maputo,MPM
2318,Temuco,ZCO
2319,Mar Del Plata,MDQ
2320,Maraba,MAB
2321,Maradi,MFG
2322,Marau,RUS
2323,Riverside,RIV
2324,Rodez,RDZ
2325,Panama,PAC
2326,Mare,MEE
2327,Sao Luis,SLZ
2328,Cuiaba,CGB
2329,Margate,MGH
2330,Marham,KNF
2331,Los Angeles,LSQ
2332,Barahona,BRX
2333,\N,NZA
2334,Guantanamo,GAO
2335,Maribor,MBX
2336,Mariehamn,MHQ
2337,Marina Di Campo,EBA
2338,Fort Ord,OAR
2339,Montes Claros,MOC
2340,Cuenca,CUE
2341,Quito,UIO
2342,\N,MPW
2343,Amman,ADJ
2344,Maroantsetra,WMN
2345,Maroochydore,MCY
2346,Marsa Alam,RMF
2347,Marsh Harbor,MHH
2348,Fort Riley,FRI
2349,Majuro,MAJ
2350,Vineyard Haven MA,MVY
2351,Marudi,MUR
2352,Mary's Harbour,YMH
2353,\N,MBH
2354,Marília,MII
2355,Masbate,MBT
2356,Mashhad,MHD
2357,Masirah,MSH
2358,Massawa,MSW
2359,Massena,MSS
2360,Masset,ZMT
2361,Masterton,MRO
2362,Masvingo,MVZ
2363,Matagami,YNM
2364,Mataiva,MVT
2365,Isiro,IRP
2366,Easter Island,IPC
2367,Pereira,PEI
2368,Matei,TVU
2369,Manzini,MTS
2370,Matsu Islands,MFK
2371,Matsu Islands,LZN
2372,Matsumoto,MMJ
2373,Matsuyama,MYJ
2374,Matthew Town,IGA
2375,Maturin,MUN
2376,Waingapu,WGP
2377,Mauke Island,MUK
2378,Maun,MUB
2379,Cherbourg,CER
2380,Maupiti,MAU
2381,Mawlamyine,MNU
2382,Ciego De Avila,AVI
2383,Montgomery,MXF
2384,Brazzaville,BZV
2385,Mayaguana,MYG
2386,Mayo,YMA
2387,Santo Domingo,STD
2388,Cajamarca,CJA
2389,Castres,DCM
2390,Mazar-i-sharif,MZR
2391,Mbandaka,MDK
2392,M'banza-congo,SSY
2393,Saginaw,MBS
2394,Mbuji-mayi,MJM
2395,Mcalester,MLC
2396,Mcallen,MFE
2397,Las Vegas,LAS
2398,Tacoma,TCM
2399,Sacramento,MCC
2400,Wichita,IAB
2401,Knoxville,TYS
2402,Wrightstown,WRI
2403,Jackson,MKL
2404,Mackminnville,MMV
2405,\N,MCV
2406,Carlsbad,CLD
2407,Mcgrath,MCG
2408,Meadow Lake,YLJ
2409,Bakersfield,BFL
2410,Medicine Hat,YXH
2411,Royan,RYN
2412,Montpellier,MPL
2413,\N,MKR
2414,Kavala,KVA
2415,Meghauli,MEY
2416,Teheran,THR
2417,Haikou,HAK
2418,Meixian,MXZ
2419,Mejit Atoll,MJB
2420,Melbourne,MEB
2421,Melbourne,MEL
2422,Melbourne,MLB
2423,Melbourne,MBW
2424,Melilla,MLN
2425,Dominica,DOM
2426,Memanbetsu,MMB
2427,Memmingen Allgau,FMM
2428,Hot Springs,HOT
2429,Memphis,MEM
2430,Marrakech,RAK
2431,\N,MDU
2432,Macon,MNM
2433,Menongue,SPP
2434,Menorca,MAH
2435,Ponce,PSE
2436,Bluefield,BLF
2437,Meridian,NMM
2438,Bordeaux,BOD
2439,\N,MIM
2440,Cordova,CDV
2441,Anchorage,MRI
2442,Mersa-matruh,MUH
2443,Merzifon,MZH
2444,Oakland,OAK
2445,Metz,ETZ
2446,Vannes,VNE
2447,Annecy,NCY
2448,Mfuwe,MFU
2449,Miami,MIA
2450,Miandrivazo,ZVA
2451,Mianyang,MIG
2452,Greenville,GLH
2453,PARKERSBURG,PKB
2454,Middle Caicos,MDS
2455,Macon,MCN
2456,Midland,MAF
2457,Midway,MDY
2458,Tver,KLD
2459,Constanta,CND
2460,Miho,YGJ
2461,Mikkeli,MIK
2462,Mykonos,JMK
2463,Mildenhall,MHZ
2464,\N,MQL
2465,Milford Sound,MFN
2466,Mili Island,MIJ
2467,\N,MGT
2468,Millington,NQA
2469,Millinocket,MLT
2470,Millville,MIV
2471,Milos,MLO
2472,Minami Daito,MMD
2473,Minatitlan,MTT
2474,Mineral Wells,MWL
2475,Mineralnye Vody,MRV
2476,Buenos Aires,EZE
2477,Navegantes,NVT
2478,Minna,MXJ
2479,Minneapolis,MSP
2480,Minot,MIB
2481,Minot,MOT
2482,Minsk,MHP
2483,Minsk 2,MSQ
2484,Miramar,NKX
2485,Chatham,YCH
2486,Epinal,EPL
2487,Miri,MYY
2488,Mirnyj,MJZ
2489,Misawa,MSJ
2490,Misima Island,MIS
2491,Misratah,MRA
2492,Missoula,MSO
2493,Mitiaro Island,MOI
2494,Tripoli,MJI
2495,Mytilini,MJT
2496,\N,MYE
2497,Miyako,MMY
2498,Miyazaki,KMI
2499,Mizan Teferi,MTF
2500,Mafeking,MBD
2501,Moala,MFJ
2502,Mobile,BFM
2503,Mobile,MOB
2504,Mocimboa Da Praia,MZB
2505,Modesto,MOD
2506,Moenjodaro,MJD
2507,Mountain View,NUQ
2508,\N,ESU
2509,Mogilev,MVQ
2510,Constantine,CZL
2511,Casablanca,CMN
2512,Yurimaguas,YMS
2513,Mokpo,MPK
2514,Molokai,MKK
2515,Mombasa,MBA
2516,\N,MAS
2517,Monaco,MCM
2518,Monbetsu,MBE
2519,Moenchengladbach,MGL
2520,Monclova,LOV
2521,Mong Hsat,MOG
2522,Stirling Island,MNY
2523,Monroe,MLU
2524,Monrovia,ROB
2525,Monrovia,MLW
2526,Mont Joli,YYY
2527,Moulins,XMU
2528,Monterey,MRY
2529,MONTGOMERY,MGM
2530,Montichiari,VBS
2531,St.-nazaire,SNR
2532,Montreal,YMX
2533,Montrose,MTJ
2534,Valdosta,VAD
2535,Moorea,MOZ
2536,Moose Jaw,YMJ
2537,Moosonee,YMO
2538,Merauke,MKQ
2539,Mora,MXX
2540,Morafenobe,TVA
2541,\N,MOV
2542,\N,MRZ
2543,Morgantown,MGW
2544,Messina,MEZ
2545,\N,ONG
2546,Moro,MXH
2547,Morombe,MXM
2548,Sevilla,OZP
2549,Morondava,MOQ
2550,\N,MYA
2551,Timika,TIM
2552,Maseru,MSU
2553,Ostrava,OSR
2554,Mostar,OMO
2555,Ablow,MTV
2556,Mouila,MJL
2557,Er-rachidia,ERH
2558,Moundou,MQQ
2559,Mount Cook,GTN
2560,\N,MGB
2561,Mount Hagen,HGU
2562,\N,MHU
2563,Mount Isa,ISA
2564,\N,MMG
2565,Mount Pleasant,MPN
2566,Mountain,MWP
2567,Mountain Home,MUO
2568,Mountain Village,MOU
2569,Moyo,OYG
2570,Umtata,UTT
2571,Mtwara,MYW
2572,Muan,MWX
2573,Muanda,MNB
2574,Mucuri,MVS
2575,Mudanjiang,MDG
2576,Bima,BMU
2577,Muir,MUI
2578,Mukah,MKM
2579,Ulan-ude,UUD
2580,Multan,MUX
2581,Mulu,MZV
2582,Munich,MUC
2583,\N,MUA
2584,Flores,FRS
2585,Muenster/osnabrueck,FMO
2586,Murcia,MJV
2587,\N,MXV
2588,Murmansk,MMK
2589,Murray Island,MYI
2590,Lagos,LOS
2591,Muskegon,MKG
2592,Muskoka,YQA
2593,Muskrat Dam,MSA
2594,Musoma,MUZ
2595,Mustique,MQS
2596,Labuhan Bajo,LBJ
2597,Palu,PLW
2598,Franceville,MVB
2599,Dar Es Salaam,DAR
2600,Mwanza,MWZ
2601,Myeik,MGZ
2602,Myitkyina,MYT
2603,Myrtle Beach,MYR
2604,Mzuzu,ZZU
2605,Bentonville,XNA
2606,Nabire,NBX
2607,Nacala,MNC
2608,Nandi,NAN
2609,Nadym,NYM
2610,Nadzab,LAE
2611,Naga,WNP
2612,Nagasaki,NGS
2613,Nagoya,NKM
2614,Naha,NAH
2615,Naha,OKA
2616,Nain,YDP
2617,Nairobi,WIL
2618,Nakashibetsu,SHB
2619,Nakhchivan,NAJ
2620,Nakhon Phanom,KOP
2621,Nakhon Si Thammarat,NST
2622,Nakina,YQN
2623,Nalchik,NAL
2624,Namangan,NMA
2625,\N,MSZ
2626,Namorik Atoll,NDK
2627,Nampula,APL
2628,Namsos,OSY
2629,Nan,NNT
2630,Nanaimo,YCD
2631,Nanchong,NAO
2632,Nanisivik,YSR
2633,Nanki-shirahama,SHM
2634,Nanortalik,JNN
2635,Wuyishan,WUS
2636,Nantes,NTE
2637,Nantong,NTG
2638,Nantucket,ACK
2639,Nanyang,NNY
2640,Nanyuki,NYK
2641,Maewo Island,MWF
2642,NAPIER,NPE
2643,Naples,APF
2644,Narathiwat,NAW
2645,Tokyo,NRT
2646,\N,NAA
2647,\N,NRA
2648,Narsaq,JNS
2649,Narssarssuaq,UAK
2650,Naryan-Mar,NNM
2651,Nashville,BNA
2652,Nasik Road,ISK
2653,Nassau,PID
2654,Natashquan,YNA
2655,Casper,CPR
2656,Nauru,INU
2657,Nausori,SUV
2658,Nawabshah,WNS
2659,Cyclades Islands,JNX
2660,N'djamena,NDJ
2661,Kinshasa,FIH
2662,Ndola,NLA
2663,Kinshasa,NLO
2664,Nea Anghialos,VOL
2665,Necochea,NEC
2666,Neerlerit Inaat,CNP
2667,Tozeur,TOE
2668,Nefteyugansk,NFG
2669,Negage,GXG
2670,Nejran,EAM
2671,Las Vegas,LSV
2672,Nelson,NSN
2673,Nema,EMN
2674,Nemiscau,YNS
2675,Nepalgunj,KEP
2676,Calcutta,CCU
2677,New Bedford,EWB
2678,Cat Island,CAT
2679,Wilmington,ILG
2680,Sapporo,CTS
2681,Kitakyushu,KKJ
2682,New Orleans,NBG
2683,New Plymouth,NPL
2684,Jacksonville,NCA
2685,Tanegashima,TNE
2686,Newark,EWR
2687,Newcastle,NTL
2688,Newcastle,NCS
2689,Newcastle,NCL
2690,\N,ZNE
2691,Newport News,PHF
2692,Newport RI,UUU
2693,N'gaoundere,NGE
2694,Ngau,NGI
2695,N'giva,NGV
2696,Kirakira,IRA
2697,Nhatrang,NHA
2698,Niagara Falls,IAG
2699,Niatougou,LRL
2700,Weeze,NRN
2701,Niigata,KIJ
2702,Heraklion,HER
2703,Manila,MNL
2704,Nioki,NIO
2705,Nis,INI
2706,Nissan Island,IIS
2707,\N,IUE
2708,Alofi,HUE
2709,Nizhnevartovsk,NJC
2710,Abuja,ABV
2711,Nogales,NOG
2712,Nogales,OLS
2713,Hanoi,HAN
2714,Nome,OME
2715,Norderney,NRD
2716,Norfolk,ORF
2717,Norfolk Island,NLK
2718,Norfolk,NGU
2719,Kingston,KIN
2720,Norman Wells,YVQ
2721,San Jose,SJC
2722,\N,NTN
2723,Norsup,NUS
2724,North Battleford,YQW
2725,North Bay,YYB
2726,Smithfield,SFZ
2727,North Eleuthera,ELH
2728,San Diego,NZY
2729,Hollywood,HWO
2730,North Platte,LBF
2731,North Ronaldsay,NRL
2732,North Spirit Lake,YNO
2733,Olpoi,OLZ
2734,Philadelphia,PNE
2735,Presque Isle,PQI
2736,Northolt,NHT
2737,Northway,ORT
2738,Muscle Shoals,MSL
2739,Norway House,YNE
2740,Norwich,NWI
2741,Nicoya,NOM
2742,Nosara Beach,NOB
2743,\N,NSH
2744,Wajima,NTQ
2745,Nottingham,NQT
2746,East Midlands,EMA
2747,Nouadhibou,NDB
2748,Nouakschott,NKC
2749,Ghardaia,GHA
2750,Khabarovsk,KHV
2751,Novyi Urengoy,NUX
2752,Noyabrsk,NOJ
2753,Salto,STY
2754,Nuku,UKU
2755,Nuku Hiva,NHV
2756,Nukus,NCU
2757,Nunukan-Nunukan Island,NNX
2758,Nuernberg,NUE
2759,Gizo,GZO
2760,Godthaab,GOH
2761,Nyagan,NYA
2762,Nyala,UYL
2763,Nyingchi,LZY
2764,\N,OKY
2765,Oamaru,OAM
2766,Puerto Inírida,PDA
2767,Oberpfaffenhofen,OBF
2768,Obihiro,OBO
2769,Obo,OBX
2770,Oceana,NTU
2771,Le Havre,LEH
2772,\N,ONJ
2773,Odense,ODE
2774,Odessa,ODS
2775,Odiham,ODH
2776,Omaha,OFF
2777,Ogdensburg,OGS
2778,Georgetown,OGL
2779,Ogoki Post,YOG
2780,Gaziantep,GZT
2781,Ohrid,OHD
2782,Oita,OIT
2783,Sapporo,OKD
2784,Okayama,OKJ
2785,Warsaw,WAW
2786,Okhotsk,OHO
2787,Oki Island,OKI
2788,Okondja,OKN
2789,Okushiri,OIR
2790,Medellin,EOH
2791,Olbia,OLB
2792,Old Crow,YOC
2793,\N,OLP
2794,Omboue Hospial,OMB
2795,Omsk,OMS
2796,Ondangwa,OND
2797,Ondjiva,VPE
2798,Ontario,ONT
2799,Ostend,OST
2800,Miami,OPF
2801,Oradea,OMR
2802,Oran,ORA
2803,Oranjemund,OMD
2804,\N,ORP
2805,Orebro,ORB
2806,Orenburg,REN
2807,Moa,MOA
2808,Orland,OLA
2809,Juazeiro Do Norte,JDO
2810,Orlando,MCO
2811,Sanford,SFB
2812,Orlando,DWS
2813,Paris,ORY
2814,Ormara Raik,ORW
2815,Ornskoldsvik,OER
2816,Orsk,OSW
2817,Osaka,ITM
2818,Osan,OSN
2819,Oscoda,OSC
2820,Osh,OSS
2821,Oshima,OIM
2822,Osijek,OSI
2823,Oskarshamn,OSK
2824,Sylhet Osmani,ZYL
2825,\N,HRK
2826,Bissau,OXB
2827,Acarigua,AGV
2828,Falmouth,FMH
2829,Ottawa,YOW
2830,Otu,OTU
2831,Ouagadougou,OUA
2832,Anjouan,AJN
2833,Ouargla,OGX
2834,Ouarzazate,OZZ
2835,Oudamsay,ODY
2836,Oudtshoorn,DUH
2837,Hassi-messaoud,HME
2838,Ouesso,OUE
2839,Oulu,OUL
2840,\N,OUK
2841,Ouvea,UVE
2842,Ovda,VDA
2843,Owando,FTX
2844,Georgetown,GCM
2845,Owensboro,OWB
2846,Oxford House,YOH
2847,Oyem,OYE
2848,Ozamis,OZC
2849,Ozona,OZA
2850,Paamiut,JFR
2851,Paderborn,PAD
2852,Padova,QPA
2853,Puerto Maldonado,PEM
2854,Paphos,PFO
2855,\N,PAG
2856,Fort Myers,FMY
2857,Page,PGA
2858,Pago Pago,PPG
2859,Pai,PYY
2860,Panevezys,PNV
2861,Pakhokku,PKK
2862,Pakse,PKZ
2863,Palacios,PSX
2864,Palanga,PLQ
2865,West Palm Beach,LNA
2866,West Palm Beach,PBI
2867,\N,PMK
2868,Palm Springs,PSP
2869,Palmar Sur,PMZ
2870,Palmas,PMW
2871,Palmdale,PMD
2872,Palmer,PAQ
2873,Palmerston North,PMR
2874,Palmyra,PMS
2875,Bucaramanga,BGA
2876,Pamplona,PNA
2877,Belo Horizonte,PLU
2878,Panama City,PFN
2879,Pangnirtung,YXP
2880,Putussibau-Borneo Island,PSU
2881,Panjgur,PJG
2882,Pantelleria,PNL
2883,Nainital,PGH
2884,Papa Stour,PSV
2885,Papa Westray,PPW
2886,\N,PBO
2887,Parachinar,PAJ
2888,Paraparaumu,PPQ
2889,Pardubice,PED
2890,\N,PKE
2891,Parma,PMF
2892,Parnu,EPU
2893,Paro,PBH
2894,Paros,PAS
2895,Krasnodar,KRR
2896,Pasni,PSI
2897,Paso De Los Libres,AOL
2898,Pathankot,IXP
2899,Pathein,BSX
2900,Patina,PAT
2901,Patreksfjordur,PFJ
2902,Coco Beach,COF
2903,Pattani,PAN
2904,Ambon,AMQ
2905,Patuxent River,NHK
2906,Pau,PUF
2907,Paulatuk,YPC
2908,Paulo Alfonso,PAV
2909,Pavlodar,PWQ
2910,Paya Lebar,QPG
2911,Peace River,YPE
2912,Portsmouth,PSM
2913,Peawanuck,YPO
2914,Pechora,PEX
2915,Tumbes,TBP
2916,Pellston,PLN
2917,Pelotas,PET
2918,Pemba,POL
2919,Pemba,PMA
2920,Pembina,PMB
2921,Penang,PEN
2922,Talang Gudang-Sumatra Island,PDO
2923,Cirebon,CBN
2924,Penrhyn Island,PYE
2925,Pensacola,NPA
2926,Pensacola,PNS
2927,Penticton,YYF
2928,Penza,PEZ
2929,Penzance,PZE
2930,Peoria,PIA
2931,Ibague,IBE
2932,Perito Moreno,PMQ
2933,Perth,PER
2934,Perth,JAD
2935,Perugia,PEG
2936,Pescara,PSR
2937,Peshawar,PEW
2938,Petawawa,YWA
2939,Peterborough,YPQ
2940,Petropavlosk,PPK
2941,Petrozavodsk,PES
2942,Phalaborwa,PHW
2943,Phaplu,PPL
2944,Phetchabun,PHY
2945,Philadelphia,PHL
2946,Mahajanga,MJN
2947,Belize City,BZE
2948,Aberdeen,APG
2949,Phitsanulok,PHS
2950,Phnom-penh,PNH
2951,Sanya,SYX
2952,Phoenix,PHX
2953,Phrae,PRH
2954,Hue,HUI
2955,\N,UIH
2956,Phuket,HKT
2957,Piacenza,QPZ
2958,Port-of-spain,POS
2959,Valdivia,ZAL
2960,Pickle Lake,YPL
2961,Pico,PIX
2962,Greensboro,GSO
2963,Piedras Negras,PDS
2964,Montreal,YUL
2965,Pierre,PIR
2966,Piestany,PZY
2967,Pietermaritzburg,PZB
2968,Pietersburg,PTG
2969,Pikangikum,YPM
2970,Pilanesberg,NTY
2971,Dumai,DUM
2972,Pingtung,PIF
2973,Fortaleza,FOR
2974,Pisa,PSA
2975,Pisco,PIO
2976,Pittsburgh (pennsylva),PIT
2977,Morotai Island,OTI
2978,Tan Tan,TTA
2979,Rodriguez Island,RRG
2980,Saltillo,SLW
2981,Port Moller,PTU
2982,Plattsburgh,PBG
2983,Manzanillo,ZLO
2984,Playa Samara,PLD
2985,Pleiku,PXU
2986,Dinard,DNR
2987,Morlaix,MXN
2988,Plovdiv,PDV
2989,Quimper,UIP
2990,Plymouth,PLH
2991,Kirov,KVX
2992,Pocatello,PIH
2993,Pocos De Caldas,POO
2994,Podgorica,TGD
2995,Pohang,KPO
2996,Pohnpei,PNI
2997,Point Lay,PIZ
2998,Point Mugu,NTD
2999,Point Salines,GND
3000,Pointe-noire,PNR
3001,Futuna Island,FUT
3002,Points North Landing,YNL
3003,Pokhara,PKR
3004,Yakutia,PYJ
3005,Fort Polk,POE
3006,Medan,MES
3007,Ponca City,PNC
3008,San Luis Potosi,SLP
3009,Pond Inlet,YIO
3010,Jakarta,PCB
3011,Ponta Delgada,PDL
3012,Ponta Pora,PMG
3013,Fayetteville,POB
3014,Poplar Hill,YHP
3015,Porbandar,PBD
3016,Bastia,BIA
3017,Pori,POR
3018,\N,EDR
3019,Port Angeles,NOW
3020,\N,PUG
3021,Port Bergé,WPB
3022,Port Blair,IXZ
3023,Columbus,CMH
3024,Port Elizabeth,PLZ
3025,Port Gentil,POG
3026,Port Hartcourt,PHC
3027,Port Hardy,YZT
3028,Port Hedland,PHE
3029,Port Hope Simpson,YHA
3030,\N,PLO
3031,\N,PQQ
3032,Port Menier,YPN
3033,Port Moresby,POM
3034,Port O\\'Connor,S46
3035,Port Said,PSD
3036,Port Sudan,PZU
3037,Port-vila,VLI
3038,Port-de-Paix,PAX
3039,\N,PTJ
3040,Portland,PWM
3041,Portland,PDX
3042,Porto Amboim,PBN
3043,Porto Nacional,PNB
3044,Porto Santo,PXO
3045,Porto,OPO
3046,Portoroz,POW
3047,Posadas,PSS
3048,Powell River,YPW
3049,Praslin,PRI
3050,Imperatriz,IMP
3051,Sao Nocolau Island,SNE
3052,Prerov,PRV
3053,Joao Pessoa,JPA
3054,Campina Grande,CPV
3055,Brasilia,BSB
3056,Rio Branco,RBR
3057,Dili,DIL
3058,Neuquen,NQN
3059,President Prudente,PPB
3060,Prestwick,PIK
3061,Prince Albert,YPA
3062,Prince George,YXS
3063,Ulundi,ULD
3064,Madinah,MED
3065,Prince Pupert,YPR
3066,Moroni,HAH
3067,Philipsburg,SXM
3068,Princeton,PNM
3069,Princeton,YDC
3070,Principe,PCP
3071,Pristina,PRN
3072,Sao Jose Dos Campos,SJK
3073,Prosserpine,PPP
3074,Marseille,MRS
3075,Providenciales,PLS
3076,Provideniya Bay,PVS
3077,Pucon,ZPC
3078,Shanghai,PVG
3079,Pueblo Memorial,PUB
3080,Puerto Barrios,PBR
3081,Puerto Cabezas,PUZ
3082,Puerto Carreno,PCR
3083,Puerto Deseado,PUD
3084,Puerto Escondido,PXM
3085,Puerto Jimenez,PJM
3086,Puerto Lempira,PEU
3087,Punta Penasco,PPE
3088,Puerto Princesa,PPS
3089,Puerto Rico/Manuripi,PUR
3090,Puka Puka,PKP
3091,Pula,PUY
3092,Pangkor Island,PKG
3093,Tioman,TOD
3094,St. Petersburg,LED
3095,Pullman,PUW
3096,Pune,PNQ
3097,Punta Cana,PUJ
3098,Punta Gorda,PND
3099,Putao,PBU
3100,Pyongyang,FNJ
3101,Katowice,KTW
3102,Pécs-Pogány,PEV
3103,Qaanaaq,NAQ
3104,Uummannaq,JQA
3105,Hafr Al-batin,AQI
3106,Bangda,BPX
3107,\N,JJU
3108,Qasigiannguit,JCH
3109,Qeqertarsuaq Airport,JGO
3110,Qiemo,IQM
3111,Broughton Island,YVM
3112,Xichang,XIC
3113,Qingyang,IQN
3114,Qiqihar,NDG
3115,Moline,MLI
3116,Quantico,NYG
3117,Quanzhou,JJN
3118,Quaqtaq,YQC
3119,Quebec,YQB
3120,Amman,AMM
3121,Queenstown International,ZQN
3122,Queenstown,UTW
3123,Quelimane,UEL
3124,Queretaro,QRO
3125,Quesnel,YQZ
3126,Quetta,UET
3127,Nuevo Laredo,NLD
3128,Quezaltenango,AAZ
3129,\N,ULP
3130,Quincy,UIN
3131,Quzhou,JUZ
3132,Boa Vista,BVC
3133,Rach Gia,VKG
3134,Bandar Lampung-Sumatra Island,TKG
3135,Raduzhnyi,RAT
3136,Gamètì,YRA
3137,Nueva Gerona,GER
3138,Aguadilla,BQN
3139,Cartagena,CTG
3140,Rafha,RAH
3141,Beirut,BEY
3142,\N,RJN
3143,Ketapang,KTG
3144,Raiatea Island,RFP
3145,Raipur,RPR
3146,Rajahmundry,RJA
3147,Rajkot,RAJ
3148,Beckley,BKW
3149,Raleigh-durham,RDU
3150,Kotzebue,OTZ
3151,Ramata,RBV
3152,\N,RAM
3153,Ramsar,RZR
3154,Ramstein,RMS
3155,Ranai-Natuna Besar Island,NTX
3156,Rancho Murieta,RIU
3157,Johannesburg,QRA
3158,Johannesburg,HCS
3159,San Antonio,RND
3160,Rangiroa,RGI
3161,Rankin Inlet,YRT
3162,Ranong,UNN
3163,Rapid City,RAP
3164,Avarua,RAR
3165,Ras Al Khaimah,RKT
3166,Rasht,RAS
3167,Ratanakiri,RBE
3168,Rawala Kot,RAZ
3169,Reading,RDG
3170,Portoviejo,PVO
3171,Reao,REA
3172,Red Deer Industrial,YQF
3173,Red Lake,YRL
3174,Redang,RDN
3175,Redcliffe,RCL
3176,Redding,RDD
3177,Redstone,HUA
3178,Slupsk,OSP
3179,Reggio Calabria,REG
3180,Regina,YQR
3181,Maringa,MGF
3182,Oranjestad,AUA
3183,Roanne,RNE
3184,Manokwari,MKW
3185,Rennell Island,RNL
3186,Goodland,GLD
3187,Reno,RNO
3188,Repulse Bay,YUT
3189,Resistencia,RES
3190,Resolute,YRB
3191,Reus,REU
3192,Reyes,REY
3193,Nuquí,NQU
3194,Reykjavik,REK
3195,Reykjavik,RKV
3196,Rhinelander,RHI
3197,El Salvador,ESR
3198,Richard's Bay,RCB
3199,Richmond,RIC
3200,Richmond,RCM
3201,Amarillo,AMA
3202,Columbus,LCK
3203,Riga,RIX
3204,Rigolet,YRG
3205,Rijeka,RJK
3206,Rimini,RMI
3207,Rio Cuarto,RCU
3208,Rio Gallegos,RGL
3209,Rio Grande,RGA
3210,Rio Grande,RIG
3211,Rishiri Island,RIS
3212,Riverside,RAL
3213,Perpignan,PGF
3214,Riviere Du Loup,YRI
3215,Rivne,RWN
3216,Mukalla,RIY
3217,Roanoke VA,ROA
3218,Killeen,GRK
3219,Basse Terre,SKB
3220,Redmond-Bend,RDM
3221,Roberval,YRJ
3222,Macon,WRB
3223,Robinson,RBM
3224,Cayenne,CAY
3225,Rochester,RST
3226,Rock Sound,RSD
3227,Rock Springs,RKS
3228,Rockhampton,ROK
3229,Rocky Mountain House,YRM
3230,Arequipa,AQP
3231,Medford,MFR
3232,Roi Et,ROI
3233,\N,RMA
3234,Washington,DCA
3235,Ronchi De Legionari,TRS
3236,Rongelap Island,RNP
3237,Ronneby,RNB
3238,Roros,RRS
3239,Rosario,ROS
3240,Tyumen,TJM
3241,Houghton Lake,HTL
3242,Copenhagen,RKE
3243,Rostov,ROV
3244,Roswell,ROW
3245,Rota,ROP
3246,Rotorua,ROT
3247,Rotterdam,RTM
3248,Rotuma,RTA
3249,Bergerac,EGC
3250,Round Lake,ZRJ
3251,Rourkela,RRK
3252,Rouyn,YUY
3253,Rovaniemi,RVN
3254,Roxas City,RXS
3255,Uruguaiana,URG
3256,Rukumkot,RUK
3257,Rumjatar,RUM
3258,Rurutu,RUR
3259,Rutland,RUT
3260,Prague,PRG
3261,Rørvik,RVK
3262,Mo i Rana,MQN
3263,\N,RET
3264,Linkoeping,LPI
3265,Saarbruecken,SCN
3266,Istanbul,SAW
3267,Sabzevar,AFZ
3268,Sacheon,HIN
3269,Sachigo Lake,ZPB
3270,Sachs Harbour,YSY
3271,Sacramento,SAC
3272,Sacramento,SMF
