,city,IATA
522,Brownsville,BRO
523,Brunei,BWN
524,Brunswick,BQK
525,Brussels,BRU
526,Charleroi,CRL
527,Bryansk,BZK
528,Fort Richardson,FRN
529,Luwuk,LUW
530,Kwajalein,KWA
531,Buckley,BKF
532,Buffalo Narrows,YVT
533,Buffalo,BUF
534,Chiredzi,BFO
535,Bugulma,UUA
536,Bujumbura,BJM
537,Buka Island,BUA
538,Bukavu/kavumu,BKY
539,Bukhara,BHK
540,Bukoba,BKZ
541,Bundaberg,BDB
542,Bunia,BUX
543,\N,BMV
544,Burao,BUO
545,Bourgas,BOJ
546,Burgos,RGS
547,Buri Ram,BFV
548,\N,BUC
549,Burlington,BTV
550,Burwash,YDB
551,Bushehr,BUZ
552,Busuanga,USU
553,Toronto,YKZ
554,Fort Carson,FCS
555,Butuan,BXU
556,Bydgoszcz,BZG
557,Moscow,BKA
558,Béchar,CBH
559,Villahermosa,VSA
560,Kansas City,MKC
561,Ca Mau,CAH
562,Caballococha,LHC
563,Cabinda,CAB
564,Nicoya,TNO
565,Tarapoto,TPP
566,Cotonou,COO
567,Ladag,CGY
568,Cairns,CNS
569,Cairo,CAI
570,Calabar,CBQ
571,Calais,CQF
572,Calbayog City,CYP
573,Caldas Novas,CLV
574,Calexico,CXL
575,Calgary,YYC
576,Calicut,CCJ
577,Nha Trang,CXR
578,Cambridge Bay,YCB
579,Cambridge,CBG
580,Camden,CDU
581,\N,CGM
582,Cucuta,CUC
583,La Toma (Catamayo),LOH
584,Austin TX,ATT
585,Hopkinsville,HOP
586,Campbell River,YBL
587,Campbeltown,CAL
588,Ajaccio,AJA
589,Caxias Do Sul,CXJ
590,Piracununga,QPS
591,Campo Grande,CGR
592,Cranbrook,YXC
593,Canaima,CAJ
594,Osorno,ZOS
595,Canberra,CBR
596,Cancun,CUN
597,Canefield,DCF
598,Clovis,CVS
599,Canouan Island,CIW
600,Canton Island,CIS
601,Pucallpa,PCL
602,Cap Haitien,CAP
603,Changuinola,CHX
604,Cap Skiring,CSK
605,Cape Dorset,YTE
606,Cape Girardeau,CGI
607,Cape Lisburne,LUR
608,Wildwood,WWD
609,Cape Newenham,EHM
610,Cape Romanzof,CZF
611,Cape Town,CPT
612,Lansing,LAN
613,Beijing,PEK
614,Trujillo,TRU
615,Piura,PIU
616,Talara,TYL
617,Potosi,POI
618,Tarija,TJA
619,San Borja,SRJ
620,Riberalta,RIB
621,Guayaramerín,GYA
622,Naples,NAP
623,Chiclayo,CIX
624,La Palma,PLP
625,Celaya,CYW
626,Caransebes,CSB
627,Caravelas,CRQ
628,Denizli,DNZ
629,Cardiff,CWL
630,Caribou,CAR
631,Carlisle,CAX
632,Punta Arenas,PUQ
633,Bayamo,BYM
634,\N,CVQ
635,Carolina,CLN
636,Caen,CFR
637,Concepcion,CCP
638,Tunis,TUN
639,Cartwright,YRF
640,La Romana,LRM
641,Brindisi,BDS
642,Cascavel,CAC
643,Puerto Ayacucho,PYH
644,Merced,MER
645,Castlegar,YCG
646,Haiphong,HPH
647,Cat Lake,YAC
648,Tulcea,TCE
649,Catamarca,CTC
650,Catania,CTA
651,Iguazu Falls,IGR
652,Foz Do Iguacu,IGU
653,Catarman,CRM
654,Catumbela,CBT
655,Puerto Leguízamo,LQM
656,Avignon,AVN
657,Carlsbad,CNM
658,Caye Caulker,CUK
659,Cayo Coco,CCC
660,Cedar City,CDC
661,Cedar Rapids,CID
662,\N,CED
663,Celle,ZCN
664,Denver,APA
665,Bloomington,BMI
666,Grand Island,GRI
667,Wassau,CWA
668,Saratov,RTW
669,Antofagasta,ANF
670,Ceuta,JCU
671,Bourg,XBK
672,Valence,VAF
673,Arica,ARI
674,Chachapoyas,CHH
675,Ambato,ATF
676,Chah Bahar,ZBR
677,Chaiten,WCH
678,Islamabad,ISB
679,Reims,RHE
680,Champaign,CMI
681,Chalon,XCD
682,Chandigarh,IXC
683,\N,BDP
684,Nanchang,KHN
685,Changchun,CGQ
686,Changde,CGD
687,Fuzhou,FOC
688,Changzhi,CIH
689,Changzhou,CZX
690,Lençóis,LEC
691,Chibougamau,YMT
692,Chapeco,XAP
693,Chapleau,YLD
694,Paris,CDG
695,Charleston,CHS
696,Charlieville,CTL
697,Charlo,YCL
698,Charlotte,CLT
699,Charlottesville VA,CHO
700,Charlottetown,YYG
701,Vichy,VHY
702,Macon,QNX
703,Cognac,CNG
704,Chatham Island,CHT
705,Chaurjhari,HRJ
706,Cheboksary,CSY
707,Georgetown,GEO
708,Tebessa,TEE
709,Madras,MAA
710,\N,CJJ
711,Cherepovets,CEE
712,Al Hociema,AHU
713,\N,CWC
714,Traverse City,TVC
715,Cherry Point,NKT
716,Cherskiy,CYX
717,Voronezh,VOZ
718,Chesterfield Inlet,YCS
719,Chetumal,CTM
720,Chevak,VAK
721,Chevery,YHR
722,Cheyenne,CYS
723,Bombay,BOM
724,Chiang Mai,CNX
725,Chiang Rai,CEI
726,Chiayi,CYI
727,Chicago,MDW
728,Chicago,ORD
729,Rockford,RFD
730,Chico,CIC
731,Chifeng,CIF
732,Childress,CDS
